variable;lower;upper;distribution;label;Description;Source-Link;;
planting_density;10000;15000;posnorm;cuttings/ha;planting density of poplar cuttings;LEL Gmünd;;
add_planting_cost;100;100;const;flat rate planting cost;additional planting cost as per source (ONE TIME EXPENDITURE);https://www.lignovis.com/fileadmin/user_upload/PDF/Ext/2013_08_Energieholz_aus_Kurzumtriebsplantagen_ETI_Brandenburg.pdf;;
plant_protection_af;60;130;posnorm;protective measures [€/ha];includes herbicide (lower range) and mechanical weeding (upper range) (1-3 TIMES EXPEDITURE9;LEL Gmünd;;
recultivation_af;900;1200;posnorm;removal of AFS [€/ha];mechanical removal of tree stumps after last rotation, usually after 20-25 years of coppicing (ONE TIME EXPENDITURE);LEL Gmünd;;
harvesting_cost_af;15;90;posnorm;Harvesting cost of wood [€/ha];Includes fully automated one step harvest+chipping (lower range), and semi-mechanised harvest+chipping (upper range) (EXPENDITURE EVERY 5 YEARS);LEL Gmünd;;
transport_cost_af;0;7.6;posnorm;Transport cost of chipped wood [€/tDM]; lower boundary: no transport, using wood on farm, upper boundary is lowest price per tDM and km (0.2€)*proximity of closest biomass power plant (RWE, Knapsackerhügel, Hürth), 38km from CKA;LEL Gmünd;;
storage_cost_af;4;5;posnorm;storing wood chips on farm until use or sale [€/tDM];;LEL Gmünd;;
yield_wood_af;8;15;posnorm;yield of wood [tDM/ha*a];;https://www.landwirtschaftskammer.de/landwirtschaft/ackerbau/nawaro/kurzumtriebsplantagen.htm;    DOI: 10.1002/9783527627462.ch4 ;
price_wood_af;71.77;175.86;posnorm;price of wood [€/tDM];lower: 2008, 35% humidity, upper: 2022, 20% humidity;https://www.carmen-ev.de/service/marktueberblick/marktpreise-energieholz/marktpreise-hackschnitzel/;;
revenue_af;574.16;2637.9;posnorm;profits of energy wood  [€/ha*a];additionall Profits of the AF System - selling Wood;revenue=yield_wood*price_wood;;
subsidies_af;60;60;const;Subsidies [€/ha*a];Subsidies for area of Agroforestry;https://foerderung.landwirtschaft-bw.de/pb/,Lde/Startseite/Agrarpolitik/Oeko-Regelungen;;
;;;;;;;;
;;;;;;;;
probability_heavy_rain;0;13.15;posnorm;probability of >20mm within one hour [%];;https://www.klimaatlas.nrw.de/klima-nrw-monitoring/klimaentwicklung/niederschlag/starkregenereignisse;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ecosystem_service_af;;;posnorm;ecosystem service cost af  [€/ha];additional gain of species and reduction of Inputs of the AF System;;;
social_af;;;posnorm;Occurrence [%];social acceptance of the population as a co-criterion ;;;
weather_af;;;posnorm;Occurrence [%];Possibility that an extrem weather occures ;;;
weather_crop;;;posnorm;Occurrence [%];Possibility that an extrem weather occures ;;;
decreaseW_af;;;posnorm;damage [€/ha];monetary damage of the weather event ;;;
;;;;;;;;
decreaseW_crop;;;posnorm;damage [€/ha];monetary damage of the weather event ;;;
;;;;;;;;
investment_cost_af;;;posnorm;investment cost af  [€/ha];Investment cost of the AF System;;;
annual_cost_af;;;posnorm;annual cost af  [€/ha];annual cost of the AF System;;;
